Listing...
adduser/oldstable,now 3.118 all [installed]
libtinfo6/oldstable,now 6.1+20181013-2+deb10u2 i386 [installed]
libudev1/oldstable,now 241-7~deb10u8 i386 [installed]
libunistring2/oldstable,now 0.9.10-1 i386 [installed]
libuuid1/oldstable,now 2.33.1-0.1 i386 [installed]
libxtables12/oldstable,now 1.8.2-4 i386 [installed]
libzstd1/oldstable,now 1.3.8+dfsg-3+deb10u2 i386 [installed]
login/oldstable,now 1:4.5-1.1 i386 [installed]
mawk/oldstable,now 1.3.3-17+b3 i386 [installed]
mount/oldstable,now 2.33.1-0.1 i386 [installed]
nano/oldstable,now 3.2-3 i386 [installed]
ncurses-base/oldstable,now 6.1+20181013-2+deb10u2 all [installed]
ncurses-bin/oldstable,now 6.1+20181013-2+deb10u2 i386 [installed]
passwd/oldstable,now 1:4.5-1.1 i386 [installed]
perl-base/oldstable,now 5.28.1-6+deb10u1 i386 [installed]
sed/oldstable,now 4.7-1 i386 [installed]
sysvinit-utils/oldstable,now 2.93-8 i386 [installed]
tar/oldstable,now 1.30+dfsg-6 i386 [installed]
util-linux/oldstable,now 2.33.1-0.1 i386 [installed]
xz-utils/oldstable,now 5.2.4-1+deb10u1 i386 [installed]
zlib1g/now 1:1.2.11.dfsg-1+deb10u2 i386 [installed,local]
